image_name,width,height,label,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area,aspect_ratio,image_area,relative_size,center_x,center_y,pothole_count,pothole_size_category,severity_score,image_size,norm_center_x,norm_center_y,split,yolo_x,yolo_y,yolo_w,yolo_h,class_id
potholes0.png,450,300,pothole,141,233,203,262,62.0,29.0,1798.0,2.14,135000.0,1.3319,172.0,247.0,12.0,Medium,7.33,450x300,0.38222222222222224,0.8233333333333334,train,0.38222222222222224,0.8250000000000001,0.13777777777777778,0.09666666666666668,0
potholes0.png,450,300,pothole,201,219,238,236,37.0,17.0,629.0,2.18,135000.0,0.4659,219.0,227.0,12.0,Small,6.47,450x300,0.4866666666666667,0.7566666666666667,train,0.48777777777777775,0.7583333333333334,0.08222222222222222,0.05666666666666667,0
potholes0.png,450,300,pothole,87,172,147,196,60.0,24.0,1440.0,2.5,135000.0,1.0667,117.0,184.0,12.0,Medium,7.07,450x300,0.26,0.6133333333333333,train,0.26,0.6133333333333334,0.13333333333333333,0.08,0
potholes0.png,450,300,pothole,181,171,212,185,31.0,14.0,434.0,2.21,135000.0,0.3215,196.0,178.0,12.0,Small,6.32,450x300,0.43555555555555553,0.5933333333333334,train,0.43666666666666665,0.5933333333333334,0.06888888888888889,0.04666666666666667,0
potholes0.png,450,300,pothole,236,175,272,185,36.0,10.0,360.0,3.6,135000.0,0.2667,254.0,180.0,12.0,Small,6.27,450x300,0.5644444444444444,0.6,train,0.5644444444444444,0.6000000000000001,0.08,0.03333333333333333,0
potholes0.png,450,300,pothole,301,173,323,183,22.0,10.0,220.0,2.2,135000.0,0.163,312.0,178.0,12.0,Small,6.16,450x300,0.6933333333333334,0.5933333333333334,train,0.6933333333333334,0.5933333333333334,0.04888888888888889,0.03333333333333333,0
potholes0.png,450,300,pothole,231,169,284,177,53.0,8.0,424.0,6.62,135000.0,0.3141,257.0,173.0,12.0,Small,6.31,450x300,0.5711111111111111,0.5766666666666667,train,0.5722222222222222,0.5766666666666667,0.11777777777777777,0.02666666666666667,0
potholes0.png,450,300,pothole,175,142,213,156,38.0,14.0,532.0,2.71,135000.0,0.3941,194.0,149.0,12.0,Small,6.39,450x300,0.4311111111111111,0.49666666666666665,train,0.4311111111111111,0.4966666666666667,0.08444444444444445,0.04666666666666667,0
potholes0.png,450,300,pothole,78,141,94,148,16.0,7.0,112.0,2.29,135000.0,0.083,86.0,144.0,12.0,Small,6.08,450x300,0.19111111111111112,0.48,train,0.19111111111111112,0.4816666666666667,0.035555555555555556,0.023333333333333334,0
potholes0.png,450,300,pothole,123,145,152,157,29.0,12.0,348.0,2.42,135000.0,0.2578,137.0,151.0,12.0,Small,6.26,450x300,0.30444444444444446,0.5033333333333333,train,0.3055555555555556,0.5033333333333334,0.06444444444444444,0.04,0
potholes0.png,450,300,pothole,154,130,168,137,14.0,7.0,98.0,2.0,135000.0,0.0726,161.0,133.0,12.0,Small,6.07,450x300,0.35777777777777775,0.44333333333333336,train,0.35777777777777775,0.445,0.03111111111111111,0.023333333333333334,0
potholes0.png,450,300,pothole,320,216,408,246,88.0,30.0,2640.0,2.93,135000.0,1.9556,364.0,231.0,12.0,Medium,7.96,450x300,0.8088888888888889,0.77,train,0.8088888888888889,0.77,0.19555555555555557,0.1,0
potholes1.png,400,300,pothole,4,141,394,264,390.0,123.0,47970.0,3.17,120000.0,39.975,199.0,202.0,2.0,Large,40.98,400x300,0.4975,0.6733333333333333,train,0.4975,0.675,0.975,0.41000000000000003,0
potholes1.png,400,300,pothole,198,111,283,135,85.0,24.0,2040.0,3.54,120000.0,1.7,240.0,123.0,2.0,Medium,2.7,400x300,0.6,0.41,train,0.6012500000000001,0.41000000000000003,0.2125,0.08,0
potholes10.png,400,400,pothole,137,174,238,307,101.0,133.0,13433.0,0.76,160000.0,8.3956,187.0,240.0,2.0,Large,9.4,400x400,0.4675,0.6,validation,0.46875,0.6012500000000001,0.2525,0.3325,0
potholes10.png,400,400,pothole,234,172,294,224,60.0,52.0,3120.0,1.15,160000.0,1.95,264.0,198.0,2.0,Medium,2.95,400x400,0.66,0.495,validation,0.66,0.495,0.15,0.13,0
potholes100.png,400,300,pothole,257,54,378,126,121.0,72.0,8712.0,1.68,120000.0,7.26,317.0,90.0,1.0,Large,7.76,400x300,0.7925,0.3,train,0.7937500000000001,0.30000000000000004,0.3025,0.24000000000000002,0
potholes101.png,530,300,pothole,158,164,235,185,77.0,21.0,1617.0,3.67,159000.0,1.017,196.0,174.0,2.0,Medium,2.02,530x300,0.36981132075471695,0.58,train,0.3707547169811321,0.5816666666666667,0.14528301886792452,0.07,0
potholes101.png,530,300,pothole,319,186,386,211,67.0,25.0,1675.0,2.68,159000.0,1.0535,352.0,198.0,2.0,Medium,2.05,530x300,0.6641509433962264,0.66,train,0.6650943396226415,0.6616666666666667,0.12641509433962264,0.08333333333333334,0
potholes102.png,400,300,pothole,164,91,333,234,169.0,143.0,24167.0,1.18,120000.0,20.1392,248.0,162.0,1.0,Large,20.64,400x300,0.62,0.54,train,0.62125,0.5416666666666667,0.4225,0.4766666666666667,0
potholes103.png,467,300,pothole,165,90,389,266,224.0,176.0,39424.0,1.27,140100.0,28.1399,277.0,178.0,3.0,Large,29.64,467x300,0.5931477516059958,0.5933333333333334,validation,0.5931477516059958,0.5933333333333334,0.4796573875802998,0.5866666666666667,0
potholes103.png,467,300,pothole,90,150,136,174,46.0,24.0,1104.0,1.92,140100.0,0.788,113.0,162.0,3.0,Small,2.29,467x300,0.24197002141327623,0.54,validation,0.24197002141327625,0.54,0.09850107066381157,0.08,0
potholes103.png,467,300,pothole,57,89,103,118,46.0,29.0,1334.0,1.59,140100.0,0.9522,80.0,103.0,3.0,Small,2.45,467x300,0.17130620985010706,0.3433333333333333,validation,0.17130620985010708,0.34500000000000003,0.09850107066381157,0.09666666666666668,0
potholes104.png,480,300,pothole,169,239,285,268,116.0,29.0,3364.0,4.0,144000.0,2.3361,227.0,253.0,2.0,Medium,3.34,480x300,0.47291666666666665,0.8433333333333334,validation,0.47291666666666665,0.8450000000000001,0.24166666666666667,0.09666666666666668,0
potholes104.png,480,300,pothole,52,217,202,245,150.0,28.0,4200.0,5.36,144000.0,2.9167,127.0,231.0,2.0,Medium,3.92,480x300,0.26458333333333334,0.77,validation,0.26458333333333334,0.77,0.3125,0.09333333333333334,0
potholes105.png,400,300,pothole,78,201,191,299,113.0,98.0,11074.0,1.15,120000.0,9.2283,134.0,250.0,8.0,Large,13.23,400x300,0.335,0.8333333333333334,train,0.33625,0.8333333333333334,0.28250000000000003,0.32666666666666666,0
potholes105.png,400,300,pothole,1,104,131,170,130.0,66.0,8580.0,1.97,120000.0,7.15,66.0,137.0,8.0,Large,11.15,400x300,0.165,0.45666666666666667,train,0.165,0.4566666666666667,0.325,0.22,0
potholes105.png,400,300,pothole,132,124,173,151,41.0,27.0,1107.0,1.52,120000.0,0.9225,152.0,137.0,8.0,Small,4.92,400x300,0.38,0.45666666666666667,train,0.38125000000000003,0.45833333333333337,0.10250000000000001,0.09000000000000001,0
